"ShotLocations.PLAYER_NAME","ShotLocations.TEAM_ABBREVIATION","head","Shot_Type","FGAM"
"Andrew Nembhard","IND","https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png","Total FGAM",7.81901307817863
"Andrew Wiggins","GSW","https://cdn.nba.com/headshots/nba/latest/260x190/203952.png","Restricted",-7.31050605060506
"Andrew Wiggins","GSW","https://cdn.nba.com/headshots/nba/latest/260x190/203952.png","Paint Not-Restricted",0.526504373485089
"Andrew Wiggins","GSW","https://cdn.nba.com/headshots/nba/latest/260x190/203952.png","Midrange",-2.94019269223777
"Andrew Wiggins","GSW","https://cdn.nba.com/headshots/nba/latest/260x190/203952.png","Corner 3",-0.614751286449399
"Andrew Wiggins","GSW","https://cdn.nba.com/headshots/nba/latest/260x190/203952.png","Above Break 3",-2.79915014164306
"Andrew Wiggins","GSW","https://cdn.nba.com/headshots/nba/latest/260x190/203952.png","Total 3",-3.41390142809246
"Andrew Wiggins","GSW","https://cdn.nba.com/headshots/nba/latest/260x190/203952.png","Total FGAM",-13.1380957974502
"Anfernee Simons","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png","Restricted",-8.76814516129032
"Anfernee Simons","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png","Paint Not-Restricted",-2.43142756927394
"Anfernee Simons","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png","Midrange",-3.10293850348379
"Anfernee Simons","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png","Corner 3",-1.83055498387871
"Anfernee Simons","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png","Above Break 3",8.63216458722981
"Anfernee Simons","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png","Total 3",6.8016096033511
"Anfernee Simons","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1629014.png","Total FGAM",-7.50090163069695
"Anthony Black","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png","Restricted",2.6640941672201
"Anthony Black","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png","Paint Not-Restricted",-2.1928983732727
"Anthony Black","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png","Midrange",-2.47466634458603
"Anthony Black","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png","Corner 3",-0.366144975288304
"Anthony Black","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png","Above Break 3",-0.177407198040324
"Anthony Black","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png","Total 3",-0.543552173328628
"Anthony Black","ORL","https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png","Total FGAM",-2.54702272396725
"Anthony Davis","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/203076.png","Restricted",26.3169142199194
"Anthony Davis","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/203076.png","Paint Not-Restricted",5.87730321214261
"Anthony Davis","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/203076.png","Midrange",-7.21377296508091
"Anthony Davis","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/203076.png","Corner 3",-1.14540222009045
"Anthony Davis","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/203076.png","Above Break 3",-4.2788253040445
"Anthony Davis","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/203076.png","Total 3",-5.42422752413495
"Anthony Davis","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/203076.png","Total FGAM",19.5562169428461
"Anthony Edwards","MIN","https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png","Restricted",12.1464602379749
"Anthony Edwards","MIN","https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png","Paint Not-Restricted",-2.30516349301327
"Anthony Edwards","MIN","https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png","Midrange",-13.6102564102564
"Anthony Edwards","MIN","https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png","Corner 3",1.45911431513903
"Anthony Edwards","MIN","https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png","Above Break 3",7.36209103840683
"Anthony Edwards","MIN","https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png","Total 3",8.82120535354586
"Anthony Edwards","MIN","https://cdn.nba.com/headshots/nba/latest/260x190/1630162.png","Total FGAM",5.05224568825109
"Anthony Gill","WAS","https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png","Restricted",0.431500423331274
"Anthony Gill","WAS","https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png","Paint Not-Restricted",-0.760552544151075
"Anthony Gill","WAS","https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png","Midrange",0
"Anthony Gill","WAS","https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png","Corner 3",-1.96615742960882
"Anthony Gill","WAS","https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png","Above Break 3",0.476177024482109
"Anthony Gill","WAS","https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png","Total 3",-1.48998040512671
"Anthony Gill","WAS","https://cdn.nba.com/headshots/nba/latest/260x190/1630264.png","Total FGAM",-1.81903252594652
"Armoni Brooks","BKN","https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png","Restricted",-3.63618895116093
"Armoni Brooks","BKN","https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png","Paint Not-Restricted",0.341514579400042
"Armoni Brooks","BKN","https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png","Midrange",-0.418862690707351
"Armoni Brooks","BKN","https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png","Corner 3",-1.17953284471539
"Armoni Brooks","BKN","https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png","Above Break 3",0.544208394177776
"Armoni Brooks","BKN","https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png","Total 3",-0.635324450537615
"Armoni Brooks","BKN","https://cdn.nba.com/headshots/nba/latest/260x190/1629717.png","Total FGAM",-4.34886151300585
"Ashton Hagans","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1630204.png","Restricted",0.026262811127379
"Ashton Hagans","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1630204.png","Paint Not-Restricted",0.113822275047193
"Ashton Hagans","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1630204.png","Midrange",0
"Ashton Hagans","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1630204.png","Corner 3",0
"Ashton Hagans","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1630204.png","Above Break 3",-1.44236518136666
"Ashton Hagans","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1630204.png","Total 3",-1.44236518136666
"Ashton Hagans","POR","https://cdn.nba.com/headshots/nba/latest/260x190/1630204.png","Total FGAM",-1.30228009519209
"Ausar Thompson","DET","https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png","Restricted",-0.843170552597769
"Ausar Thompson","DET","https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png","Paint Not-Restricted",-0.118467631698856
"Ausar Thompson","DET","https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png","Midrange",-3.40937651039149
"Ausar Thompson","DET","https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png","Corner 3",-10.9044936100041
"Ausar Thompson","DET","https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png","Above Break 3",-6.54276292545048
"Ausar Thompson","DET","https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png","Total 3",-17.4472565354546
"Ausar Thompson","DET","https://cdn.nba.com/headshots/nba/latest/260x190/1641709.png","Total FGAM",-21.8182712301427
"Austin Reaves","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png","Restricted",10.0648445382005
"Austin Reaves","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png","Paint Not-Restricted",8.65119544991749
"Austin Reaves","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png","Midrange",2.48071792384187
"Austin Reaves","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png","Corner 3",-0.97439769373327
"Austin Reaves","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png","Above Break 3",1.35811146609869
"Austin Reaves","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png","Total 3",0.383713772365422
"Austin Reaves","LAL","https://cdn.nba.com/headshots/nba/latest/260x190/1630559.png","Total FGAM",21.5804716843253
"Ayo Dosunmu","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1630245.png","Restricted",-1.59141239311342
"Ayo Dosunmu","CHI","https://cdn.nba.com/headshots/nba/latest/260x190/1630245.png","Paint Not-Restricted",-0.484818770793208
